,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,"Friuli-Venezia Giulia",Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,"Provincia Autonoma Bolzano / Bozen","Provincia Autonoma Trento",Puglia,Sardegna,Sicilia,Toscana,"Trentino Alto Adige / Südtirol",Umbria,"Valle d'Aosta / Vallée d'Aoste",Veneto
0-9,104868,41991,165312,530912,378176,93182,506283,109118,884414,123450,21948,346338,54936,50035,332668,116308,440105,294910,104971,70074,10528,414926
10-19,117094,52979,190676,641470,404912,106022,546882,128322,961237,138615,26617,386792,57894,55470,407564,138239,515344,331182,113364,79194,11907,470462
20-29,134238,63504,227036,715901,416656,110352,584104,138660,982354,148825,33639,409014,61173,57011,454334,158533,585416,343614,118184,82608,11914,482384
30-39,156306,67268,248301,736472,509891,129345,717632,151638,1187594,172352,36111,472194,63502,61244,480448,193523,614982,414568,124746,100350,13445,547052
40-49,196299,81348,277410,860147,709189,185081,946659,223467,1591034,230374,43484,658299,78038,79574,601316,260127,726189,575674,157612,132027,19293,767625
50-59,203139,88030,290512,868548,691144,194188,931157,252494,1566175,233788,47515,682253,81712,84079,606678,266150,738060,582074,165791,135143,20406,788986
60-69,167393,72610,242138,666878,534643,155142,695812,203327,1182159,191098,40461,558840,55354,65316,492806,223054,605502,462876,120670,110810,15903,595088
70-79,129508,51445,174360,480067,454624,141583,555882,189487,994236,156257,29869,479555,46657,51198,388850,170211,458247,410421,97855,94959,12951,492166
80-89,83475,36162,108440,252942,290154,80359,326211,124680,588241,105212,20864,300502,25992,29478,219235,93001,263279,254430,55470,61915,7643,283331
90-99,18864,7419,22458,47346,68820,19607,66957,28803,120949,24870,5000,61520,5848,7587,44255,20033,51720,58911,13435,14681,1652,62772
