,ITC1,ITC2,ITC3,ITC4,ITD1,ITD2,ITD3,ITD4,ITD5,ITDA,ITE1,ITE2,ITE3,ITE4,ITF1,ITF2,ITF3,ITF4,ITF5,ITF6,ITG1,ITG2
0-9,346338,10528,109118,884414,54936,50035,414926,93182,378176,104971,294910,70074,123450,506283,104868,21948,530912,332668,41991,165312,440105,116308
10-19,386792,11907,128322,961237,57894,55470,470462,106022,404912,113364,331182,79194,138615,546882,117094,26617,641470,407564,52979,190676,515344,138239
20-29,409014,11914,138660,982354,61173,57011,482384,110352,416656,118184,343614,82608,148825,584104,134238,33639,715901,454334,63504,227036,585416,158533
30-39,472194,13445,151638,1187594,63502,61244,547052,129345,509891,124746,414568,100350,172352,717632,156306,36111,736472,480448,67268,248301,614982,193523
40-49,658299,19293,223467,1591034,78038,79574,767625,185081,709189,157612,575674,132027,230374,946659,196299,43484,860147,601316,81348,277410,726189,260127
50-59,682253,20406,252494,1566175,81712,84079,788986,194188,691144,165791,582074,135143,233788,931157,203139,47515,868548,606678,88030,290512,738060,266150
60-69,558840,15903,203327,1182159,55354,65316,595088,155142,534643,120670,462876,110810,191098,695812,167393,40461,666878,492806,72610,242138,605502,223054
70-79,479555,12951,189487,994236,46657,51198,492166,141583,454624,97855,410421,94959,156257,555882,129508,29869,480067,388850,51445,174360,458247,170211
80-89,300502,7643,124680,588241,25992,29478,283331,80359,290154,55470,254430,61915,105212,326211,83475,20864,252942,219235,36162,108440,263279,93001
90-99,61520,1652,28803,120949,5848,7587,62772,19607,68820,13435,58911,14681,24870,66957,18864,5000,47346,44255,7419,22458,51720,20033
