"Fasce","Abruzzo","Basilicata","Calabria","Campania","Emilia Romagna","Friuli Venezia Giulia","Lazio","Liguria","Lombardia","Marche","Molise","P.A. Bolzano","P.A. Trento","Piemonte","Puglia","Sardegna","Sicilia","Toscana","Umbria","Valle d'Aosta","Veneto"
"0-9",8,0,3,12,43,9,18,13,150,10,1,7,1,28,15,2,4,33,7,9,55
"10-19",15,0,4,22,71,11,26,9,128,20,1,13,7,17,12,3,2,36,12,6,97
"20-29",23,0,8,88,360,58,86,49,1051,80,0,81,46,188,49,13,22,79,34,25,438
"30-39",75,4,15,109,729,72,170,112,2077,190,6,83,81,316,110,35,28,154,45,33,589
"40-49",138,2,37,178,1372,133,250,165,4023,343,8,146,161,647,182,64,54,304,56,64,968
"50-59",144,1,52,251,1870,175,403,313,6721,562,26,151,226,1032,260,59,87,465,99,67,1544
"60-69",198,2,51,233,1745,135,318,293,6505,508,15,107,193,915,221,52,84,458,73,54,1083
"70-79",119,1,30,140,1931,128,297,342,7581,534,5,131,209,998,165,37,61,399,54,71,965
"80-89",84,0,16,79,1493,130,202,293,5637,555,10,132,214,800,114,17,22,268,23,50,862
"90+",17,0,4,13,391,63,42,84,1009,190,1,49,83,166,30,4,12,50,3,15,312
"ignota",3,0,3,26,3,4,5,22,25,19,0,5,0,4,7,6,82,1,3,6,22
